Age (kyr),IRM@0.9 AF 120mT (A/m)
69.44,0.286
69.63,0.322
69.81,0.365
70.00,0.391
70.18,0.398
70.37,0.392
70.55,0.379
70.74,0.362
70.92,0.343
71.11,0.32
71.29,0.293
71.48,0.269
71.66,0.259
71.89,0.273
72.12,0.303
72.35,0.337
72.59,0.367
72.82,0.389
73.05,0.406
73.28,0.42
73.51,0.432
73.68,0.445
73.84,0.46
74.00,0.475
74.17,0.492
74.33,0.511
74.50,0.528
74.66,0.546
74.83,0.561
74.99,0.574
75.15,0.585
75.32,0.593
75.48,0.598
75.65,0.599
75.81,0.593
75.98,0.581
76.14,0.566
76.31,0.55
76.47,0.538
76.65,0.533
76.84,0.531
77.02,0.531
77.21,0.53
77.39,0.526
77.58,0.517
77.76,0.501
77.95,0.482
78.13,0.46
78.32,0.437
78.50,0.41
78.69,0.383
78.87,0.357
79.06,0.333
79.24,0.307
79.43,0.279
79.61,0.247
79.80,0.21
80.04,0.172
80.27,0.138
80.51,0.109
80.75,0.0894
80.99,0.0778
81.23,0.0741
81.46,0.078
81.70,0.0888
81.94,0.107
82.18,0.131
82.42,0.162
82.65,0.201
82.89,0.244
83.13,0.29
83.37,0.333
83.61,0.371
83.85,0.401
84.08,
84.32,
84.56,
84.80,
85.04,
85.28,
85.51,
85.75,
85.99,0.473
86.23,0.513
86.47,0.541
86.71,0.562
86.94,0.584
87.18,0.607
87.42,0.627
87.66,0.642
87.90,0.647
88.14,0.643
88.37,0.629
88.61,0.61
88.85,0.587
89.09,0.562
89.33,0.536
89.57,0.511
89.80,0.491
90.04,0.474
90.28,0.461
90.52,0.447
90.76,0.431
91.00,0.412
91.23,0.388
91.47,0.356
91.71,0.318
91.95,0.274
92.19,0.238
92.43,0.218
92.66,0.218
92.90,0.236
93.14,0.277
93.31,0.341
93.48,0.416
93.65,0.49
93.81,0.55
93.98,0.6
94.15,0.641
94.32,0.674
94.49,0.698
94.66,0.708
94.83,0.705
94.99,0.693
95.16,0.675
95.33,0.655
95.50,0.634
95.67,0.613
95.84,0.588
96.00,0.557
96.17,0.511
96.34,0.451
96.51,0.387
96.68,0.34
96.85,0.328
97.03,0.346
97.22,0.376
97.40,0.401
97.59,0.417
97.77,0.427
97.96,0.431
98.14,0.432
98.33,0.431
