Age (kyr),IRM@0.9 AF 120mT (A/m)
357.60,0.38318
357.88,0.38508
358.16,0.38686
358.45,0.38901
358.73,0.39062
359.01,0.3909
359.30,0.38991
359.58,0.38846
359.86,0.38826
360.14,0.38978
360.43,0.39139
360.71,0.39037
360.99,0.3862
361.28,0.38103
361.56,0.3777
361.84,0.37862
362.12,0.38506
362.41,0.39653
362.69,0.40975
362.97,0.4225
363.26,0.43356
363.54,0.44477
363.82,0.45849
364.10,0.47498
364.36,0.48996
364.62,0.49627
364.89,0.49138
365.15,0.47815
365.41,0.46078
365.67,0.44354
365.93,0.42861
366.19,0.41512
366.45,0.40282
366.71,0.39141
366.97,0.38276
367.23,0.37626
367.49,0.3709
367.75,0.36516
368.01,0.35721
368.27,0.34775
368.53,0.33829
368.79,0.33132
369.07,0.3279
369.36,0.32851
369.65,0.33318
369.93,0.34126
370.22,0.35238
370.50,0.36586
370.79,0.38108
371.07,0.39714
371.36,0.41343
371.65,0.42832
371.93,0.44008
372.22,0.44898
372.50,0.45446
372.79,0.45585
373.07,0.45193
373.36,0.44197
373.65,0.426
373.93,0.4067
374.22,0.3874
374.50,0.37129
374.79,0.35959
375.07,0.35312
375.36,0.35288
375.64,0.35851
375.93,0.36734
376.22,0.37709
376.50,0.38666
376.79,0.39507
377.07,0.40144
377.36,0.40412
377.64,0.40175
377.93,0.39283
378.22,
378.50,
378.79,
379.07,
379.36,
379.64,
379.93,
380.22,0.41359
380.50,0.43592
380.79,0.44904
381.07,0.45559
381.36,0.45741
381.64,0.45719
381.93,0.45592
382.22,0.4527
382.50,0.44652
382.79,0.43747
383.07,0.4274
383.36,0.41613
383.64,0.40347
383.93,0.38997
384.21,0.37513
384.50,0.36099
384.79,0.34861
385.07,0.33976
385.36,0.33458
385.64,0.33209
385.93,0.33095
386.21,0.33048
386.50,0.331
386.79,0.33313
387.07,0.33725
387.36,0.3435
387.64,0.35134
387.93,0.35934
388.21,0.3661
388.50,0.37066
388.79,0.37304
389.07,0.37405
389.36,0.37305
389.64,0.36777
389.93,0.35739
390.21,0.34598
390.50,0.3382
390.79,0.33648
391.07,0.34065
391.36,0.34741
391.64,0.35231
391.93,0.35225
392.21,0.3473
392.41,0.33949
392.60,0.32944
392.80,0.31634
392.99,0.30004
393.19,0.28251
393.38,0.26458
393.58,0.24817
393.78,0.23381
393.97,0.22222
394.17,0.21425
394.36,0.21043
394.56,0.21067
394.75,0.21231
394.95,0.21187
395.14,0.20747
395.34,0.20003
395.53,0.19274
395.73,0.18787
395.92,0.18537
396.12,0.18439
396.31,0.18361
396.51,0.18188
396.70,0.17832
396.90,0.17322
397.09,0.16969
397.29,0.17102
397.48,0.17783
397.68,0.18737
397.87,0.19654
398.07,0.20448
398.26,0.21003
398.46,0.21381
398.66,0.21658
398.85,0.21834
399.05,0.21939
399.24,0.22043
399.44,0.22249
399.63,0.226
399.83,0.23005
400.02,0.23359
400.22,0.23485
400.41,0.23262
400.61,0.22619
400.80,0.21575
401.00,0.20076
401.19,0.18152
401.39,0.16044
401.58,0.143
401.99,0.13198
402.40,0.12814
402.81,0.12883
403.21,0.1312
403.62,0.13332
404.03,0.13475
404.43,0.136
404.84,0.13741
405.25,0.13911
405.66,0.14092
406.06,0.1429
406.47,0.14553
406.88,0.14923
407.29,0.15361
407.70,0.15829
408.11,0.16232
408.52,0.16573
408.94,0.16852
409.35,0.17085
409.76,0.17253
410.17,0.17393
410.58,0.17539
411.00,0.17723
411.41,0.17939
411.82,0.18171
412.23,0.18357
412.64,0.18514
413.05,0.18664
413.47,0.18838
413.88,0.1905
414.23,0.198
414.50,0.205
414.77,0.211
415.05,0.217
415.32,0.222
415.59,0.226
415.87,0.23
416.14,0.233
416.41,0.236
416.69,0.239
416.96,0.241
417.23,0.242
417.51,0.242
417.78,0.241
418.05,0.238
418.33,0.235
418.60,0.233
418.87,0.232
419.15,0.231
419.42,0.231
419.69,0.229
419.97,0.225
420.24,0.22
420.51,0.215
420.79,0.21
421.06,0.207
421.34,0.205
421.63,0.205
421.92,0.207
422.20,0.211
422.49,0.218
422.77,0.228
423.06,0.238
423.35,0.249
423.63,0.258
423.92,0.267
424.21,0.279
424.49,0.291
424.78,0.302
425.06,0.31
425.35,0.313
425.64,0.311
425.92,0.307
426.21,0.304
426.49,0.301
426.78,0.3
427.07,0.301
427.35,0.306
427.64,0.316
427.92,0.327
428.21,0.335
428.50,0.337
428.78,0.333
429.07,0.327
429.36,0.321
429.64,0.316
429.93,0.311
430.21,0.311
430.50,0.317
430.79,0.328
431.07,0.339
431.36,0.345
431.64,0.346
431.93,0.342
432.22,0.334
432.50,0.322
432.79,0.307
433.07,0.292
433.36,0.28
433.65,0.272
433.93,0.268
434.22,0.268
434.50,0.273
434.79,0.281
435.08,0.293
435.36,0.31
435.65,0.332
435.94,0.357
436.22,0.385
436.51,0.416
436.79,0.456
437.08,0.504
437.37,0.56
437.65,0.62
437.94,0.668
438.22,0.692
438.50,0.684
438.77,0.65
439.04,0.595
439.31,0.539
439.58,0.488
439.85,0.447
440.20,0.417
440.64,0.398
441.08,0.388
441.52,0.385
441.96,0.384
442.40,0.383
442.84,0.381
443.28,0.377
443.72,0.373
444.16,0.369
444.60,0.371
445.04,0.379
445.49,0.394
445.93,0.414
446.37,0.432
446.81,0.446
447.25,0.455
447.69,0.459
448.13,0.46
448.57,0.458
449.01,0.453
449.45,0.445
449.89,0.434
450.33,0.421
450.77,0.408
451.21,0.398
451.65,0.391
452.09,0.386
452.53,0.383
452.97,0.383
453.41,0.385
453.85,0.386
454.29,0.383
454.73,0.373
455.17,0.356
455.61,0.333
456.05,0.31
456.50,0.289
456.94,0.275
457.38,0.265
457.82,0.257
458.26,0.25
458.70,
459.14,
459.58,
460.02,
460.46,
460.90,
461.34,
461.78,0.262
462.22,0.284
462.66,0.301
463.10,0.312
463.54,0.316
463.98,0.313
464.42,0.304
464.86,0.293
465.30,0.282
465.74,0.271
466.18,0.261
466.62,0.253
467.07,0.247
467.51,0.243
467.95,0.243
468.39,0.245
468.83,0.249
469.27,0.255
469.71,0.262
470.15,0.268
470.59,0.272
471.03,0.27
471.47,0.264
471.91,0.256
472.35,0.246
472.79,0.236
473.23,0.226
473.67,0.215
474.11,0.204
474.55,0.192
474.99,0.18
475.43,0.167
475.87,0.155
476.31,0.142
476.75,0.131
477.19,0.122
477.64,0.116
478.08,0.108
478.52,0.099
478.96,0.0886
479.40,0.0825
479.88,0.0859
480.36,0.102
480.84,0.133
481.32,0.18
481.80,0.242
482.28,0.32
482.76,0.399
483.12,0.475
483.36,0.529
483.60,0.557
483.84,0.546
484.08,0.496
484.32,0.427
484.56,0.36
484.80,0.309
485.04,0.276
485.28,0.259
485.51,0.249
485.75,0.242
485.99,0.233
486.23,0.221
486.47,0.207
486.71,0.195
486.95,0.187
487.19,0.182
487.43,0.18
487.67,0.179
487.91,0.179
488.15,0.179
488.39,0.179
488.63,0.178
488.87,0.175
489.11,0.171
489.35,0.165
489.59,0.161
489.83,0.158
490.07,0.156
490.54,0.15379
490.78,0.15908
491.02,0.16281
491.26,0.16529
491.50,0.16744
491.74,0.16951
491.98,0.1719
492.22,0.17458
492.46,0.17772
492.70,0.18118
492.94,0.18473
493.18,0.18788
493.42,0.19124
493.66,0.19588
493.90,0.20267
494.14,0.21333
494.38,0.22926
494.62,0.25132
494.86,0.28078
495.10,0.31463
495.34,0.35403
495.57,0.3907
495.81,0.41916
496.05,0.43427
496.29,0.43524
496.53,0.42162
496.77,0.39252
497.01,0.35121
497.25,0.30788
497.49,0.27137
497.73,0.24451
497.97,0.22433
498.21,0.2094
498.45,0.19781
498.69,0.1899
498.93,0.18596
499.17,0.1851
499.41,0.18685
499.65,0.19144
499.89,0.19854
500.13,0.20737
500.37,0.21473
500.60,0.21867
500.84,0.21746
501.08,0.21189
501.32,0.20575
501.56,0.20156
501.80,0.19983
502.04,0.19971
502.28,0.20009
502.52,0.20103
502.76,0.20358
503.00,0.20847
503.61,0.21529
504.21,0.22271
504.82,0.22969
505.42,0.23688
506.03,0.24529
506.63,0.25618
507.24,0.2705
507.84,0.28771
508.45,0.30609
509.05,0.32384
509.66,0.33858
510.26,0.34992
510.87,0.35744
511.47,0.36057
512.08,0.35905
512.68,0.35165
513.29,0.33654
513.89,
514.50,
515.11,
515.71,
516.32,
516.92,
517.53,
518.13,0.242
518.74,0.242
519.34,0.235
519.95,0.222
520.55,0.206
521.16,0.188
521.76,0.169
522.37,0.152
522.97,0.138
523.58,0.127
524.18,0.117
524.79,0.108
525.39,0.0999
526.00,0.0942
526.43,0.0924
526.85,0.0948
527.28,0.102
527.70,0.113
528.13,0.129
528.56,0.151
528.98,0.176
529.41,0.2
529.84,0.221
530.26,0.237
530.69,0.251
531.11,0.263
531.54,0.275
531.97,0.291
532.39,0.307
532.82,0.318
533.25,0.322
533.67,0.32
534.10,0.316
534.52,0.314
534.95,0.315
535.38,0.318
535.80,0.323
536.23,0.331
536.66,0.342
537.08,0.355
537.51,0.369
537.93,0.38
538.36,0.388
538.79,0.392
539.21,0.395
539.64,0.399
540.07,0.403
540.49,0.407
540.92,0.41
541.34,0.411
541.77,0.408
542.20,0.4
542.62,0.387
543.05,0.373
543.48,0.363
543.90,0.36
544.33,0.363
544.75,0.368
545.18,0.373
545.61,0.374
546.03,0.371
546.46,0.364
546.89,0.355
547.31,0.34
547.74,0.32
548.16,0.299
548.59,0.28
549.02,0.269
549.44,0.269
549.87,0.278
550.30,0.291
550.72,0.307
551.15,0.323
551.57,0.342
552.00,0.362
552.44,0.382
552.88,0.4
553.33,0.414
553.77,0.419
554.21,0.413
554.65,0.399
555.10,0.381
555.54,0.365
555.98,0.35
556.42,0.339
556.87,0.332
557.31,0.331
557.75,0.335
558.19,0.342
558.63,0.349
559.08,0.353
559.52,0.35
559.96,0.343
560.40,0.337
560.85,0.335
561.29,0.339
561.73,0.347
562.17,0.355
562.62,0.358
563.06,0.354
563.50,0.344
563.94,0.328
564.38,0.309
564.83,0.287
565.27,0.264
565.71,0.242
566.15,0.221
566.60,0.204
567.04,0.19
567.48,0.181
567.92,0.177
568.37,0.179
568.81,0.191
569.25,0.214
569.69,0.25
570.13,0.296
570.58,0.344
571.02,0.392
571.46,0.43
571.90,0.461
572.35,0.483
572.79,0.5
573.23,0.513
573.67,0.523
574.12,0.531
574.56,0.536
575.00,0.539
575.41,0.543
575.83,0.548
576.24,0.552
576.66,0.549
577.07,0.534
577.49,0.502
577.90,0.456
578.32,0.403
578.73,0.353
579.14,0.313
579.56,0.286
579.97,0.269
580.39,0.259
580.80,0.253
581.22,0.248
581.63,0.243
582.05,
582.46,
582.87,
583.29,
583.70,
584.12,
584.53,
584.95,0.23
585.36,0.246
585.77,0.26
586.19,0.273
586.60,0.286
587.02,0.298
587.43,0.311
587.85,0.322
588.26,0.33
588.68,0.334
589.09,0.331
589.50,0.319
589.92,0.301
590.33,0.279
590.75,0.257
591.16,0.238
591.58,0.223
591.99,0.214
592.41,0.212
592.82,0.215
593.23,0.222
593.65,0.23
594.06,0.238
594.48,0.24
594.89,0.236
595.31,0.222
595.72,0.198
596.14,0.167
596.55,0.135
596.96,0.105
597.38,0.0818
597.79,0.0678
598.19,0.0623
598.56,0.0641
598.93,0.0711
599.31,0.0819
599.68,0.0958
600.05,0.112
600.42,0.129
600.80,0.144
601.17,0.157
601.54,0.17
601.92,0.183
602.29,0.196
602.66,0.21
603.03,0.224
603.41,0.235
603.78,0.242
604.15,0.247
604.53,0.251
604.90,0.257
605.27,0.265
605.64,0.275
606.02,0.284
606.39,0.29
606.76,0.291
607.14,0.287
607.51,0.28
607.88,0.272
608.25,0.262
608.63,0.252
609.00,0.241
609.37,0.23
609.75,0.219
610.12,0.209
610.49,0.199
610.86,0.191
611.24,0.184
611.61,0.178
611.98,0.173
612.36,0.168
612.73,0.162
613.10,0.155
613.47,0.147
613.85,0.14
614.22,0.133
614.59,0.129
614.97,0.13
615.34,0.138
615.71,0.151
616.08,0.166
616.46,0.179
616.83,0.186
617.20,0.185
617.58,0.176
617.95,0.158
618.32,0.134
618.69,0.108
619.07,0.0869
619.44,0.0702
619.81,0.0591
620.17,0.0531
620.52,0.0523
620.86,0.0563
621.20,0.0636
621.55,0.0723
621.89,0.0809
622.24,0.0881
622.58,0.094
622.93,0.0987
623.27,0.103
623.61,0.106
623.96,0.11
624.30,0.114
624.65,0.119
624.99,0.125
625.34,0.131
625.68,0.138
626.02,0.146
626.37,0.154
626.71,0.164
627.06,0.176
627.40,0.19
627.75,0.205
628.09,0.222
628.43,0.24
628.78,0.257
629.12,0.273
629.47,0.288
629.81,0.298
630.16,0.305
630.50,0.306
630.84,0.306
631.19,0.304
631.53,0.302
631.88,0.3
632.22,0.298
632.57,0.297
632.91,0.295
633.25,0.294
633.60,0.294
633.94,0.294
634.29,0.294
634.63,0.294
634.98,0.294
635.32,0.292
635.66,0.289
636.01,0.284
636.35,0.278
636.70,0.273
637.04,0.268
637.39,0.262
637.73,0.254
638.07,
638.42,
638.76,
639.11,
639.45,
639.80,
640.14,
640.48,0.212
640.83,0.231
641.12,0.25
641.35,0.273
641.58,0.298
641.81,0.322
642.04,0.349
642.27,0.375
642.50,0.399
642.73,0.417
642.96,0.427
643.19,0.43
643.42,0.43
643.65,0.431
643.88,0.431
644.12,0.43
644.35,0.424
644.58,0.412
644.81,0.397
645.04,0.381
645.27,0.363
645.50,0.343
645.73,0.322
645.96,0.305
646.19,0.291
646.42,0.279
646.65,0.269
646.88,0.261
647.12,0.258
647.35,0.259
647.58,0.264
647.81,0.271
648.04,0.28
648.27,0.288
648.50,0.296
648.73,0.306
648.96,0.318
649.19,0.333
649.42,0.346
649.65,0.354
649.88,0.355
650.12,0.348
650.35,0.335
650.58,0.32
650.81,0.306
651.04,0.295
651.27,0.286
651.50,0.28
651.73,0.277
651.96,0.279
652.19,0.287
652.42,0.299
652.65,0.312
652.88,0.326
653.12,0.339
653.35,0.35
653.58,0.356
653.81,0.356
654.04,0.352
654.27,0.344
654.50,0.337
654.73,0.333
654.96,0.336
655.19,0.347
655.42,0.366
655.65,0.387
655.88,0.402
656.12,0.403
656.35,0.391
656.58,0.373
656.81,0.356
657.04,0.343
657.27,0.334
657.50,0.329
657.73,0.325
657.96,0.321
658.19,0.314
658.42,0.302
658.65,0.288
658.88,0.275
659.12,0.263
659.35,0.254
659.58,0.248
659.81,0.244
660.04,0.243
660.27,0.243
660.50,0.245
660.73,0.249
660.96,0.257
661.19,0.268
661.42,0.283
661.65,0.298
661.88,0.314
662.12,0.329
662.35,0.342
662.58,0.352
662.81,0.356
663.04,0.353
663.27,0.346
663.50,0.334
663.73,0.32
663.96,0.305
664.19,0.287
664.42,0.266
664.65,0.244
664.88,0.223
665.12,0.204
665.35,0.187
665.58,0.173
665.81,0.161
666.04,0.15
666.27,0.141
666.50,0.136
666.73,0.136
666.96,0.138
667.19,0.14
667.42,0.142
667.65,0.146
667.88,0.156
668.19,0.173
668.58,0.195
668.97,0.217
669.36,0.226
669.75,0.222
670.14,0.21
670.53,0.199
670.92,0.192
671.31,0.188
671.70,0.185
672.09,0.182
672.48,0.178
672.87,0.173
673.26,0.17
673.65,0.169
674.04,0.168
674.42,0.168
674.81,0.168
675.20,0.168
675.59,
675.98,
676.37,
676.76,
678.71,
679.10,
679.49,
679.88,
680.27,0.232
680.65,0.248
681.04,0.259
681.43,0.266
681.82,0.273
682.21,0.281
682.60,0.293
682.99,0.311
683.38,0.334
683.77,0.361
684.16,0.392
684.55,0.428
684.94,0.464
685.33,0.496
685.72,0.514
686.11,0.51
686.50,0.486
686.88,0.457
687.27,0.436
687.66,0.423
688.05,0.419
688.44,0.423
688.83,0.436
689.22,0.462
689.61,0.498
690.00,0.54
690.29,0.587
690.58,0.634
690.87,0.679
691.15,0.722
691.44,0.76
691.73,0.79
692.02,0.81
692.31,0.808
692.60,0.772
692.88,0.703
693.17,0.608
693.46,0.514
693.75,0.433
694.04,0.371
694.33,0.328
694.62,0.298
694.90,0.277
695.19,0.265
695.48,0.258
695.77,0.257
696.06,0.261
696.35,0.269
696.63,0.279
696.92,0.288
697.21,0.297
697.50,0.304
697.79,0.31
698.08,0.314
698.37,0.316
698.65,0.317
698.94,0.318
699.23,0.318
699.52,0.319
699.81,0.319
700.10,0.319
700.38,0.318
700.67,0.315
700.96,0.312
701.25,0.309
701.54,0.305
701.83,0.302
702.12,0.299
702.40,0.295
702.69,0.288
702.98,0.278
703.27,0.265
703.56,0.25
703.85,0.236
704.13,0.225
704.42,0.221
704.71,0.224
705.00,0.236
705.29,0.254
705.58,0.272
705.87,0.291
706.15,0.308
706.44,0.326
706.73,0.345
707.02,0.359
707.31,0.365
707.60,0.362
707.88,0.357
708.17,0.356
708.46,0.361
708.75,0.371
709.04,0.383
709.33,0.395
709.62,0.402
709.90,0.4
710.19,0.387
710.48,0.369
710.77,0.351
711.06,0.336
711.35,0.327
711.63,0.323
711.92,0.322
712.21,0.323
712.50,0.324
712.79,0.327
713.08,0.331
713.37,0.334
713.65,0.335
713.94,0.334
714.23,0.333
714.52,0.332
714.81,0.331
715.10,0.329
715.38,0.325
715.67,0.321
715.96,0.317
716.25,0.316
716.54,0.318
716.83,0.323
717.12,0.331
717.40,0.341
717.69,0.353
717.98,0.363
718.27,0.369
718.56,0.371
718.85,0.367
719.13,0.36
719.42,0.351
719.71,0.344
720.00,0.34
720.74,0.338
721.47,0.338
722.21,0.342
722.94,0.351
723.68,0.364
724.41,0.374
725.15,0.379
725.89,0.377
726.62,0.374
727.36,0.373
728.09,0.373
728.83,0.369
729.56,0.358
730.30,
731.03,
731.77,
732.51,
733.24,
733.98,
734.71,
735.45,0.38493
736.18,0.3935
736.92,0.39416
737.66,0.39239
738.39,0.39284
739.13,0.39779
739.86,0.40647
740.60,0.41515
741.33,0.41996
742.07,0.4197
742.80,0.41694
743.54,0.41355
744.28,0.41017
745.01,0.40798
745.75,0.40624
746.48,0.40249
747.22,0.39597
747.95,0.38783
748.69,0.38124
749.43,0.3793
750.16,0.38261
750.90,0.38951
751.63,0.39784
752.37,0.4059
753.10,0.4135
753.84,0.42028
754.57,0.42612
755.31,0.431
756.05,0.4362
756.78,0.44195
757.52,0.44643
758.25,0.44662
758.99,0.44075
759.72,0.43011
760.46,0.41781
761.20,0.40699
761.93,0.3986
762.67,0.39382
763.40,0.39278
764.14,0.39433
764.87,0.39445
765.57,0.403
766.34,0.41
766.99,0.41
767.63,0.403
768.28,0.388
768.92,0.369
769.56,0.348
770.21,0.327
770.85,0.308
771.49,0.29
772.14,0.275
772.78,0.261
773.43,0.249
774.07,0.238
774.71,0.227
775.36,0.217
776.00,0.206
776.64,0.196
777.32,0.185
777.99,0.175
778.67,0.166
779.34,0.16
780.02,0.157
780.69,0.157
781.36,0.161
782.04,0.169
782.71,0.179
783.39,0.192
784.01,0.206
784.18,0.219
784.34,0.23
784.50,0.239
784.66,0.246
784.82,0.254
784.99,0.264
785.15,0.281
785.31,0.301
785.47,0.324
785.63,0.344
785.79,0.364
785.96,0.383
786.12,0.405
786.28,0.432
786.44,0.467
786.60,0.509
786.76,0.553
786.92,0.6
787.08,0.647
787.24,0.698
787.39,0.744
787.55,0.781
787.71,0.806
787.87,0.818
788.03,0.814
788.19,0.79
788.35,0.752
788.51,0.708
788.67,0.664
788.83,0.617
788.99,0.56
789.15,0.498
789.31,0.438
789.47,0.389
789.63,0.358
789.79,0.34
789.95,0.328
790.11,0.32
790.27,0.309
790.43,0.298
790.59,0.286
790.75,0.275
790.91,0.265
791.07,0.26
791.23,0.259
791.39,0.265
791.55,0.279
791.71,0.301
791.87,0.333
792.03,0.369
792.18,0.406
792.34,0.435
792.50,0.456
792.66,0.473
792.82,0.484
793.00,0.484
793.18,0.469
793.35,0.449
793.53,0.43
793.71,0.416
793.88,0.408
794.06,0.408
794.24,0.415
794.41,0.429
794.59,0.447
794.76,0.466
794.94,0.485
795.12,0.506
795.29,0.526
795.47,0.547
795.65,0.564
795.82,0.578
796.00,0.588
796.36,0.594
796.72,0.597
797.08,0.599
797.44,0.6
797.80,0.6
798.16,0.594
798.52,0.575
798.88,0.543
799.24,
799.60,
799.96,
800.32,
800.68,
801.04,
801.40,
801.76,0.535
802.12,0.562
802.48,0.581
802.84,0.597
803.20,0.614
803.56,0.632
803.92,0.649
804.28,0.66
804.64,0.662
805.00,0.656
805.36,0.645
805.73,0.633
806.09,0.621
806.45,0.611
806.81,0.602
807.17,0.591
807.53,0.579
807.89,0.568
808.25,0.56
808.61,0.56
808.97,0.567
809.33,0.582
809.69,0.599
810.05,0.614
810.41,0.62
810.77,0.616
811.13,0.604
811.49,0.588
811.85,0.575
812.21,0.564
812.57,0.554
812.93,0.54
813.29,0.516
813.65,0.485
814.01,0.453
814.37,0.426
814.73,0.408
815.09,0.398
815.45,0.392
815.81,0.388
816.17,0.384
816.53,0.378
816.89,0.372
817.25,0.368
817.61,0.367
817.97,0.37
818.33,0.379
818.69,0.393
819.05,0.408
819.41,0.42
819.77,0.426
820.13,0.428
820.49,0.428
820.85,0.43
821.21,0.432
821.57,0.434
821.93,0.433
822.29,0.426
822.65,0.414
823.01,0.4
823.37,0.387
823.73,0.378
824.09,0.374
824.45,0.378
824.82,0.387
825.18,0.4
825.54,0.41
825.90,0.417
826.26,0.42
826.62,0.423
826.98,0.429
827.34,0.435
827.70,0.437
828.06,0.429
828.42,0.41
828.78,0.386
829.14,0.364
829.50,0.347
829.86,0.334
830.22,0.323
830.58,0.313
830.94,0.304
831.30,0.296
831.66,0.286
832.02,0.274
832.38,0.261
832.74,0.253
833.10,0.252
833.46,0.259
833.82,0.273
834.18,0.29
834.54,0.308
834.90,0.321
835.26,0.326
835.62,0.323
835.98,0.314
836.34,0.3
836.70,0.287
837.06,0.274
837.42,0.265
837.78,0.261
838.14,0.261
838.50,0.268
838.86,0.28
839.22,0.296
839.58,0.312
839.94,0.323
840.30,0.326
840.66,0.321
841.02,0.309
841.38,0.291
841.74,0.272
842.10,0.254
842.46,0.241
842.82,0.233
843.18,0.233
843.55,0.242
843.91,0.258
844.27,0.278
844.63,0.299
844.99,0.317
845.35,0.332
845.71,0.346
846.07,0.358
846.43,0.367
846.79,0.374
847.15,0.38
847.51,0.383
847.87,0.381
848.23,0.373
848.59,0.363
848.95,0.349
849.31,0.337
849.67,0.325
850.03,0.314
850.39,0.302
850.75,0.29
851.11,0.279
851.47,0.27
851.83,0.264
852.19,0.26
852.55,0.255
852.91,0.249
853.27,
853.63,
853.99,
854.35,
856.69,
857.19,
857.68,
858.18,
858.67,0.599
859.01,0.655
859.36,0.712
859.70,0.767
860.04,0.812
860.38,0.836
860.72,0.826
861.06,0.79
861.40,0.746
861.74,0.707
862.09,0.67
862.43,0.625
862.77,0.576
863.11,0.534
863.45,0.504
863.79,0.493
864.13,0.5
864.47,0.527
864.82,0.574
865.16,0.635
865.50,0.704
865.84,0.778
866.18,0.846
866.52,0.903
866.86,0.941
867.20,0.96
867.55,0.96
867.89,0.942
868.23,0.908
868.57,0.86
868.91,0.802
869.25,0.74
869.59,0.671
869.93,0.593
870.27,0.509
870.62,0.431
870.96,0.365
871.30,0.313
871.64,0.274
871.98,0.247
872.21,0.229
872.43,0.219
872.66,0.216
872.88,0.218
873.10,0.221
873.33,0.226
873.55,0.232
873.77,0.24
873.99,0.25
874.22,0.261
874.44,0.271
874.66,0.28
874.89,0.287
875.11,0.292
875.33,0.296
875.55,0.301
875.78,0.307
876.00,0.317
876.22,0.331
876.45,0.35
876.67,0.372
876.89,0.397
877.11,0.422
877.34,0.441
877.56,0.455
877.78,0.463
878.01,0.47
878.23,0.481
878.45,0.498
878.67,0.527
878.90,0.568
879.12,0.617
879.34,0.667
879.57,0.708
879.79,0.736
880.01,0.747
880.24,0.746
880.46,0.74
880.68,0.732
880.90,0.725
881.13,0.722
881.35,0.725
881.57,0.732
881.80,0.744
882.02,0.76
882.24,0.781
882.46,0.804
882.69,0.828
882.91,0.849
883.13,0.863
883.36,0.871
883.58,0.873
883.80,0.87
884.02,0.862
884.25,0.846
884.47,0.824
884.69,0.793
884.92,0.75
885.14,0.699
885.36,0.634
885.59,0.565
885.81,0.502
886.03,0.448
886.25,0.413
886.48,0.387
886.70,0.37
886.92,0.361
887.15,0.356
887.37,0.354
887.59,0.352
887.81,0.346
888.04,0.337
888.26,0.324
888.48,
888.71,
888.93,
889.15,
889.37,
889.59,
889.81,
890.03,0.38503
890.25,0.3994
890.47,0.40184
890.69,0.39616
890.91,0.38587
891.13,0.37457
891.35,0.36555
891.57,0.36106
891.79,0.36203
892.03,0.36755
892.67,0.37507
893.31,0.38272
893.96,0.38973
894.60,0.39574
895.24,0.40037
895.88,0.40267
896.52,0.40104
897.16,0.39516
897.81,0.38718
898.45,0.3804
899.09,0.37579
899.73,0.3726
900.37,0.37073
901.02,0.37107
901.66,0.37288
902.30,0.37335
902.94,0.36918
903.58,0.35926
904.23,0.34569
904.87,0.33267
905.51,0.32568
906.15,0.32739
906.79,0.3373
907.44,0.35368
908.08,0.3729
908.72,0.39246
909.36,0.41321
910.00,0.43694
910.65,0.46597
911.29,0.50073
911.93,0.5369
912.57,0.56799
913.21,0.58807
913.86,0.59291
914.50,0.58187
915.14,0.55757
915.78,0.5282
916.13,0.49887
916.33,0.47237
916.52,0.45076
916.72,0.43497
916.92,0.42926
917.12,0.43627
917.31,0.45647
917.51,0.48759
917.71,0.52518
917.90,0.56229
918.10,0.59074
918.30,0.60746
918.49,0.61574
918.69,0.62437
918.89,0.63694
919.09,0.65126
919.28,0.66261
919.48,0.66776
919.68,0.66957
919.87,0.67327
920.07,0.68241
920.27,0.69949
920.47,0.72268
920.66,0.74545
920.86,0.75397
921.06,0.74296
921.25,0.71533
921.45,0.68301
921.65,0.65261
921.85,0.62757
922.04,0.61162
922.24,0.60666
922.44,0.6102
922.63,0.61641
922.83,0.61626
923.03,0.60013
923.23,0.56756
923.42,0.5267
923.62,0.48577
923.82,0.45063
924.01,0.42425
924.21,0.40738
924.43,0.3986
924.64,0.39718
924.86,0.40192
925.07,0.40935
925.29,0.41481
925.50,0.41351
925.72,0.40576
925.93,0.39707
926.15,0.39185
926.36,0.39139
926.58,0.39347
926.79,0.39526
927.01,0.39513
927.22,0.39276
927.44,0.38878
927.65,0.38415
927.87,0.38027
928.08,0.37947
928.30,0.38321
928.51,0.39249
928.73,0.40855
928.94,0.43046
929.16,0.45181
929.37,0.4634
929.59,0.46061
929.80,0.44633
930.02,0.42792
930.23,0.41286
930.45,0.39937
930.66,0.38396
930.88,0.36035
931.09,0.32719
931.31,0.28794
931.52,0.24936
931.74,0.21641
931.95,0.19289
932.17,0.18425
932.38,0.19393
932.60,0.22272
932.81,0.26628
933.03,0.32017
933.24,0.37644
933.46,0.4342
933.67,0.49204
933.89,0.55036
934.18,0.60898
934.57,0.66449
934.96,0.71428
935.35,0.75884
935.74,0.79294
936.13,0.80938
936.52,0.80497
936.91,0.77892
937.30,0.73291
937.69,
938.08,
938.47,
938.86,
939.25,
939.64,
940.03,
940.42,0.30014
940.81,0.30026
941.20,0.28898
941.59,0.27438
941.98,0.26189
942.37,0.25148
942.76,0.24379
943.15,0.23879
943.54,0.23628
943.93,0.23551
944.32,0.23482
944.71,0.23272
945.10,0.22894
945.49,0.22415
945.88,0.21945
946.27,0.21533
946.66,0.21218
947.05,0.20918
947.44,0.20461
947.83,0.19737
948.22,0.18794
948.61,0.17696
949.00,0.16634
949.39,0.15658
949.78,0.14716
950.17,0.13718
950.56,0.12616
950.95,0.11438
951.34,0.10232
951.73,0.091568
952.12,0.083315
952.51,0.078915
952.90,0.079159
953.28,0.084839
953.66,0.094918
954.05,0.10661
954.43,0.11927
954.81,0.1334
955.17,0.15145
