,ybp,sealevel,interp.sealevels
283,282000,NA,-46.216
284,283000,NA,-44.214
285,284000,NA,-42.212
286,285000,NA,-40.21
287,286000,NA,-38.208
288,287000,NA,-36.206
289,288000,NA,-34.204
290,289000,NA,-32.202
291,290000,-30.2,-30.2
292,291000,NA,-30.521
293,292000,NA,-30.842
294,293000,NA,-31.163
295,294000,NA,-31.484
296,295000,NA,-31.805
297,296000,NA,-32.126
298,297000,NA,-32.447
299,298000,NA,-32.768
300,299000,NA,-33.089
301,300000,-33.41,-33.41
302,301000,NA,-33.514
303,302000,NA,-33.618
304,303000,NA,-33.722
305,304000,NA,-33.826
306,305000,NA,-33.93
307,306000,NA,-34.034
308,307000,NA,-34.138
309,308000,NA,-34.242
310,309000,NA,-34.346
311,310000,-34.45,-34.45
312,311000,NA,-33.656
313,312000,NA,-32.862
314,313000,NA,-32.068
315,314000,NA,-31.274
316,315000,NA,-30.48
317,316000,NA,-29.686
318,317000,NA,-28.892
319,318000,NA,-28.098
320,319000,NA,-27.304
321,320000,-26.51,-26.51
322,321000,NA,-28.279
323,322000,NA,-30.048
324,323000,NA,-31.817
325,324000,NA,-33.586
326,325000,NA,-35.355
327,326000,NA,-37.124
328,327000,NA,-38.893
329,328000,NA,-40.662
330,329000,NA,-42.431
331,330000,-44.2,-44.2
332,331000,NA,-44.543
333,332000,NA,-44.886
334,333000,NA,-45.229
335,334000,NA,-45.572
336,335000,NA,-45.915
337,336000,NA,-46.258
338,337000,NA,-46.601
339,338000,NA,-46.944
340,339000,NA,-47.287
341,340000,-47.63,-47.63
342,341000,NA,-49.397
343,342000,NA,-51.164
344,343000,NA,-52.931
345,344000,NA,-54.698
346,345000,NA,-56.465
347,346000,NA,-58.232
348,347000,NA,-59.999
349,348000,NA,-61.766
350,349000,NA,-63.533
351,350000,-65.3,-65.3
352,351000,NA,-65.353
353,352000,NA,-65.406
354,353000,NA,-65.459
355,354000,NA,-65.512
356,355000,NA,-65.565
357,356000,NA,-65.618
358,357000,NA,-65.671
359,358000,NA,-65.724
360,359000,NA,-65.777
361,360000,-65.83,-65.83
362,361000,NA,-63.372
363,362000,NA,-60.914
364,363000,NA,-58.456
365,364000,NA,-55.998
366,365000,NA,-53.54
367,366000,NA,-51.082
368,367000,NA,-48.624
369,368000,NA,-46.166
370,369000,NA,-43.708
371,370000,-41.25,-41.25
372,371000,NA,-40.196
373,372000,NA,-39.142
374,373000,NA,-38.088
375,374000,NA,-37.034
376,375000,NA,-35.98
377,376000,NA,-34.926
378,377000,NA,-33.872
379,378000,NA,-32.818
380,379000,NA,-31.764
381,380000,-30.71,-30.71
382,381000,NA,-30.961
383,382000,NA,-31.212
384,383000,NA,-31.463
385,384000,NA,-31.714
386,385000,NA,-31.965
387,386000,NA,-32.216
388,387000,NA,-32.467
389,388000,NA,-32.718
390,389000,NA,-32.969
391,390000,-33.22,-33.22
392,391000,NA,-31.188
393,392000,NA,-29.156
394,393000,NA,-27.124
395,394000,NA,-25.092
396,395000,NA,-23.06
397,396000,NA,-21.028
398,397000,NA,-18.996
399,398000,NA,-16.964
400,399000,NA,-14.932
401,400000,-12.9,-12.9
402,401000,NA,-10.08
403,402000,NA,-7.26
404,403000,NA,-4.44
405,404000,NA,-1.62
406,405000,NA,1.2
407,406000,NA,4.02
408,407000,NA,6.84
409,408000,NA,9.66
410,409000,NA,12.48
411,410000,15.3,15.3
412,411000,NA,14.732
413,412000,NA,14.164
414,413000,NA,13.596
415,414000,NA,13.028
416,415000,NA,12.46
417,416000,NA,11.892
418,417000,NA,11.324
419,418000,NA,10.756
420,419000,NA,10.188
421,420000,9.62,9.62
422,421000,NA,7.116
423,422000,NA,4.612
424,423000,NA,2.108
425,424000,NA,-0.396
426,425000,NA,-2.9
427,426000,NA,-5.404
428,427000,NA,-7.908
429,428000,NA,-10.412
430,429000,NA,-12.916
431,430000,-15.42,-15.42
432,431000,NA,-13.239
433,432000,NA,-11.058
434,433000,NA,-8.877
435,434000,NA,-6.696
436,435000,NA,-4.515
437,436000,NA,-2.334
438,437000,NA,-0.153
439,438000,NA,2.028
440,439000,NA,4.209
441,440000,6.39,6.39
442,441000,NA,-0.653
443,442000,NA,-7.696
444,443000,NA,-14.739
445,444000,NA,-21.782
446,445000,NA,-28.825
447,446000,NA,-35.868
448,447000,NA,-42.911
449,448000,NA,-49.954
450,449000,NA,-56.997
451,450000,-64.04,-64.04
452,451000,NA,-63.77
453,452000,NA,-63.5
454,453000,NA,-63.23
455,454000,NA,-62.96
456,455000,NA,-62.69
457,456000,NA,-62.42
458,457000,NA,-62.15
459,458000,NA,-61.88
460,459000,NA,-61.61
461,460000,-61.34,-61.34
462,461000,NA,-60.462
463,462000,NA,-59.584
464,463000,NA,-58.706
465,464000,NA,-57.828
466,465000,NA,-56.95
467,466000,NA,-56.072
468,467000,NA,-55.194
469,468000,NA,-54.316
470,469000,NA,-53.438
471,470000,-52.56,-52.56
472,471000,NA,-48.989
473,472000,NA,-45.418
474,473000,NA,-41.847
475,474000,NA,-38.276
476,475000,NA,-34.705
477,476000,NA,-31.134
478,477000,NA,-27.563
479,478000,NA,-23.992
480,479000,NA,-20.421
481,480000,-16.85,-16.85
482,481000,NA,-16.498
483,482000,NA,-16.146
484,483000,NA,-15.794
485,484000,NA,-15.442
486,485000,NA,-15.09
487,486000,NA,-14.738
